Nama,Harga,Tanggal
Air Jordan 5 Retro OG 'Black Metallic Reimagined',$264,Feb 08
Air Jordan 12 Retro 'Flu Game' 2025,$249,Mar 01
Air Jordan 3 Retro 'Black Cat' 2025,$193,Jan 11
9060 'Black Cat',$147,Mar 01
Nigel Sylvester x Air Jordan 4 Retro OG SP 'Brick By Brick',$276,Mar 14
Union LA x Air Jordan 1 Retro High OG SP 'Chicago Shadow',$330,Feb 27
Air Jordan 1 Retro High '85 OG 'Bred / Banned' 2025,$268,Feb 14
Total 90 3 SP 'Metallic Silver Red' 2025,$105,Mar 01
Air Flightposite 'Black' 2025,$205,Feb 28
Air Jordan 3 Retro 'Lucky Shorts',$119,Feb 22
Dunk Low 'Year of the Snake',$99,Jan 14
Travis Scott x Air Jordan 1 Retro Low OG SP 'Velvet Brown',$226,2024
Air Jordan 11 Retro 'Legend Blue / Columbia' 2024,$154,2024
Nike SB x Air Jordan 4 Retro SP 'Navy',$374,Mar 18
Wmns Air Jordan 4 Retro 'Abundance / Seafoam',$129,Mar 08
Dunk Low 'Black White',$47,2021
Wmns Samba OG 'Cheetah Pack - Preloved Red',$116,Jan 30
Air Jordan 1 Retro High OG 'Black Toe Reimagined',$114,Feb 15
Air Foamposite One 'Galaxy' 2025,$210,Feb 21
Gel 1130 'Cream Blueberry',$75,Jan 01
Air Jordan 3 Retro OG 'Black Cement' 2024,$146,2024
Air Jordan 1 Retro High OG 'Midnight Navy',$86,2024
Wmns Air Jordan 3 Retro 'Treat Yourself',$140,Feb 01
Air Diamond Turf '49ers' 2025,$158,Jan 24
Air Jordan 3 Retro 'Black Cat' 2025,$264,Feb 08
